keeping,getting rid of
STATION,AWND
DATE,BackupDirection
REPORT_TYPE,BackupDistance
SOURCE,BackupDistanceUnit
HourlyAltimeterSetting,BackupElevation
HourlyDewPointTemperature,BackupElevationUnit
HourlyDryBulbTemperature,BackupLatitude
HourlyPrecipitation,BackupLongitude
HourlyPresentWeatherType,CDSD
HourlyPressureChange,CLDD
HourlyPressureTendency,DSNW
HourlyRelativeHumidity,DYHF
HourlySeaLevelPressure,DYTS
HourlySkyConditions,DailyAverageDewPointTemperature
HourlyStationPressure,DailyAverageDryBulbTemperature
HourlyVisibility,DailyAverageRelativeHumidity
HourlyWetBulbTemperature,DailyAverageSeaLevelPressure
HourlyWindDirection,DailyAverageStationPressure
HourlyWindGustSpeed,DailyAverageWetBulbTemperature
HourlyWindSpeed,DailyAverageWindSpeed
,DailyCoolingDegreeDays
,DailyDepartureFromNormalAverageTemperature
,DailyHeatingDegreeDays
,DailyMaximumDryBulbTemperature
,DailyMinimumDryBulbTemperature
,DailyPeakWindDirection
,DailyPeakWindSpeed
,DailyPrecipitation
,DailySnowDepth
,DailySnowfall
,DailySustainedWindDirection
,DailySustainedWindSpeed
,DailyWeather
,HDSD
,HTDD
,MonthlyAverageRH
,MonthlyDaysWithGT001Precip
,MonthlyDaysWithGT010Precip
,MonthlyDaysWithGT32Temp
,MonthlyDaysWithGT90Temp
,MonthlyDaysWithLT0Temp
,MonthlyDaysWithLT32Temp
,MonthlyDepartureFromNormalAverageTemperature
,MonthlyDepartureFromNormalCoolingDegreeDays
,MonthlyDepartureFromNormalHeatingDegreeDays
,MonthlyDepartureFromNormalMaximumTemperature
,MonthlyDepartureFromNormalMinimumTemperature
,MonthlyDepartureFromNormalPrecipitation
,MonthlyDewpointTemperature
,MonthlyGreatestPrecip
,MonthlyGreatestPrecipDate
,MonthlyGreatestSnowDepth
,MonthlyGreatestSnowDepthDate
,MonthlyGreatestSnowfall
,MonthlyGreatestSnowfallDate
,MonthlyMaxSeaLevelPressureValue
,MonthlyMaxSeaLevelPressureValueDate
,MonthlyMaxSeaLevelPressureValueTime
,MonthlyMaximumTemperature
,MonthlyMeanTemperature
,MonthlyMinSeaLevelPressureValue
,MonthlyMinSeaLevelPressureValueDate
,MonthlyMinSeaLevelPressureValueTime
,MonthlyMinimumTemperature
,MonthlySeaLevelPressure
,MonthlyStationPressure
,MonthlyTotalLiquidPrecipitation
,MonthlyTotalSnowfall
,MonthlyWetBulb
,NormalsCoolingDegreeDay
,NormalsHeatingDegreeDay
,REPORT_TYPE
,SOURCE
,ShortDurationEndDate005
,ShortDurationEndDate010
,ShortDurationEndDate015
,ShortDurationEndDate020
,ShortDurationEndDate030
,ShortDurationEndDate045
,ShortDurationEndDate060
,ShortDurationEndDate080
,ShortDurationEndDate100
,ShortDurationEndDate120
,ShortDurationEndDate150
,ShortDurationEndDate180
,ShortDurationPrecipitationValue005
,ShortDurationPrecipitationValue010
,ShortDurationPrecipitationValue015
,ShortDurationPrecipitationValue020
,ShortDurationPrecipitationValue030
,ShortDurationPrecipitationValue045
,ShortDurationPrecipitationValue060
,ShortDurationPrecipitationValue080
,ShortDurationPrecipitationValue100
,ShortDurationPrecipitationValue120
,ShortDurationPrecipitationValue150
,ShortDurationPrecipitationValue180
,Sunrise
,Sunset
,WindEquipmentChangeDate
,BackupElements
,BackupEquipment
,BackupName
,REM
